experimental_rank,model_id,nucleic_acid_type,total_polymer_length,kd_nm,boltz_pred,boltz_rank_matched8,task5_global_rank,af3_calibrated_head1,af3_calibrated_rank,af3_finetuned_head1,af3_finetuned_rank,af3_pretrained_head1,af3_pretrained_rank,af3_ensemble_calibrated,af3_ensemble_rank
1.0,UTEXAS_10001056_R1099,DNA,335,0.11,-0.4617900848388672,6.0,173,-2.323007847049356,1.0,-2.9238830932625035,2.0,46503.69140625,1.0,-2.36542000843429,1.0
2.0,UTEXAS_10001057_R1100,DNA,335,0.2,0.1440839171409607,7.0,272,-2.3165243260218795,2.0,-2.6200799563310255,6.0,46638.05078125,2.0,-2.346124603015486,2.0
3.0,UTEXAS_10001248_R1292,DNA,419,8.75,-0.5542563796043396,4.0,152,-2.3143660426236763,4.0,-2.604118875838907,7.0,46682.77734375,4.0,-2.3384480034470414,4.0
4.0,UTEXAS_10001152_R1196,DNA,498,51.46,-0.5182894468307495,5.0,160,-2.3056435617530675,7.0,-2.5779796813080793,8.0,46863.53515625,7.0,-2.313919517329011,8.0
5.0,UTEXAS_10001055_R1098,DNA,334,56.9,-0.6555432081222534,3.0,132,-2.315806531857656,3.0,-2.623315710229832,5.0,46652.92578125,3.0,-2.3449819782425347,3.0
6.0,UTEXAS_10001153_R1197,DNA,495,403.7,-0.6915192604064941,2.0,122,-2.3078617869958675,5.0,-2.700827542463685,3.0,46817.56640625,5.0,-2.320803522154776,5.0
7.0,UTEXAS_10001154_R1198,DNA,498,543.3,-0.8220858573913574,1.0,98,-2.307564528225652,6.0,-2.662335084971872,4.0,46823.7265625,6.0,-2.3197137693901624,7.0
8.0,UTEXAS_10001412_R1461,RNA,413,135000.0,2.5800130367279053,8.0,412,-2.3015030505631167,8.0,-2.9421630064624935,1.0,46949.33984375,8.0,-2.319893187516813,6.0
