stage,split,mae,rmse,pearson_r,spearman_rho,r2
calibrated_initial,train,1.1327666720996301,1.329454208023359,0.018297932207420792,0.004616304522234014,0.00033481431899384795
calibrated_initial,validation,1.2385974451899529,1.2614342063574968,0.9549420314276713,0.8095238095238096,-25.103312410337537
finetuned,train,1.164697965607047,1.509543166230216,0.17463033401680655,0.18161085085118284,-0.28883960903986616
finetuned,validation,0.3465711548924446,0.42072483785443937,-0.7003373136680003,0.2142857142857143,-1.9037733653690254
