split,predictor,n,mae,rmse,pearson_r,spearman_rho,r2
train,head1_pred,48,1.13276658742773,1.3294541626484515,0.018299928289364612,0.004616304522234014,0.00033488737539577595
train,head2_pred,48,1.0476031030114479,1.291722610080324,0.23721957310606467,0.2021398286088823,0.05627312586462352
train,ensemble_pred,48,1.1276130430033362,1.3279459783078962,0.051007044316114185,0.0038559720126895877,0.0026017185698659073
validation,head1_pred,8,1.2385979386159112,1.2614346918355461,0.9549436751572238,0.8095238095238096,-25.10333358191322
validation,head2_pred,8,0.9205953964404832,1.1296668915109773,-0.9472662216136297,-0.7619047619047621,-19.934723682956445
validation,ensemble_pred,8,1.1974540815378503,1.2202674272105043,0.8797004704034731,0.8571428571428572,-23.42735642693289
test,head1_pred,8,1.7188516215445433,2.070928458441171,0.8903885955309913,0.8095238095238096,-0.26873777356904416
test,head2_pred,8,1.64995221719566,2.0980937107377278,-0.7169348555364352,-0.30952380952380953,-0.3022412308681548
test,ensemble_pred,8,1.7229768762548887,2.075091945223154,0.7731061910577823,0.6904761904761906,-0.2738443554863421
